trip_distance,trip_duration,passenger_count,pickup_hour,is_weekend,fare_amount,traffic_condition_High,traffic_condition_Low,traffic_condition_Medium,traffic_condition_Very High,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Foggy,weather_condition_Rainy,weather_condition_Snowy
-0.4492813600150413,0.09250390811801196,3.0,22,0,22.17,1,0,0,0,0,1,0,0,0
0.9948409595471432,1.793508485356837,2.0,17,0,53.86,1,0,0,0,1,0,0,0,0
0.3068593825285804,0.000618285368615784,1.0,4,1,22.12,0,1,0,0,0,1,0,0,0
-0.9583451275303246,-1.0605486017494128,1.0,15,0,9.99,0,0,1,0,0,1,0,0,0
-0.9583451275303246,-0.969783535375009,2.0,13,0,11.93,0,0,0,1,0,0,0,1,0
-1.1415228848789205,-0.8073028610010765,2.0,18,0,6.79,0,1,0,0,0,1,0,0,0
2.179106460545041,1.6668856149826687,1.0,13,0,45.53,0,1,0,0,0,0,0,1,0
0.3175092521418708,0.40513913674095814,1.0,8,0,35.45,1,0,0,0,1,0,0,0,0
0.8500027328063932,1.0046367973620198,2.0,5,0,41.83,0,0,1,0,0,0,0,1,0
-1.1415228848789205,-1.171483682873684,1.0,16,0,3.36,1,0,0,0,0,1,0,0,0
-0.8411965617841298,-0.458809828378366,1.0,3,0,14.93,1,0,0,0,1,0,0,0,0
-0.9050957794638724,-0.8106645301260544,3.0,15,0,11.77,1,0,0,0,1,0,0,0,0
-0.9029658055412144,-0.9731452044999871,2.0,10,1,8.71,0,0,1,0,1,0,0,0,0
-0.630329143440979,-0.6638716450020188,3.0,21,0,11.98,0,0,1,0,1,0,0,0,0
0.019312902969738397,0.5059892104902957,1.0,3,1,35.62,1,0,0,0,0,0,0,1,0
-0.2852733679703685,-0.15738016350534623,3.0,16,0,19.71,0,0,1,0,0,0,0,1,0
-0.6622787522808503,-0.5708654658776298,1.0,7,1,17.72,1,0,0,0,0,0,0,1,0
0.3643686784403489,-0.11031679575565544,1.0,13,0,28.26,0,0,1,0,1,0,0,0,0
-0.9924247102928542,-1.171483682873684,1.0,1,0,5.77,0,1,0,0,1,0,0,0,0
-0.6601487783581922,-0.6526660812520925,4.0,10,0,10.5,0,0,1,0,0,1,0,0,0
-0.4705810992416222,-0.9350462877502373,2.0,10,1,11.44,0,1,0,0,0,0,1,0,0
-0.21072428067733529,-0.1327279232555083,1.0,23,0,28.79,1,0,0,0,0,0,0,1,0
1.3718463438576254,1.8697063188563365,1.0,21,0,54.64,1,0,0,0,1,0,0,0,0
-0.8688862227786849,-0.5193198726279684,1.0,23,0,9.57,0,1,0,0,0,1,0,0,0
-0.01689665371544911,-0.04196285688110456,1.0,5,0,23.88,0,0,1,0,1,0,0,0,0
0.2812996954566833,0.7480293874887053,2.0,20,0,36.87,1,0,0,0,1,0,0,0,0
-1.1415228848789205,-1.0403785869995452,2.0,20,0,9.96,1,0,0,0,1,0,0,0,0
0.34519891313642614,-0.2548685681297059,5.0,13,0,27.75,0,0,1,0,0,0,1,0,0
-0.9285254926131115,-0.09799067563073648,5.0,9,0,9.87,0,0,1,0,0,1,0,0,0
-1.133002989188288,-1.171483682873684,2.0,7,1,9.48,1,0,0,0,1,0,0,0,0
1.5678039447421697,2.065803684480048,1.0,7,1,60.21,1,0,0,0,1,0,0,0,0
-0.6281991695183208,-0.5843121423775415,1.0,22,0,21.29,1,0,0,0,0,1,0,0,0
-1.0733637193538614,-1.171483682873684,2.0,1,0,8.77,0,0,0,1,1,0,0,0,0
0.7158143756789338,1.1413446751111216,5.0,15,1,44.02,1,0,0,0,0,1,0,0,0
-0.2597136808984714,-0.5125965343780127,4.0,8,0,16.23,0,1,0,0,1,0,0,0,0
-1.0265042930553836,-1.0717541654993392,1.0,12,0,4.14,0,1,0,0,0,0,0,1,0
-0.08292584531785,-0.25150689900472784,1.0,22,1,17.51,0,1,0,0,1,0,0,0,0
-1.1415228848789205,-1.146831442623846,3.0,11,1,4.19,0,1,0,0,1,0,0,0,0
2.8415283504917066,2.028825324105291,3.0,21,0,45.5,0,1,0,0,1,0,0,0,0
-0.7368278395738834,-0.530525436377895,1.0,16,0,11.11,0,0,1,0,0,1,0,0,0
0.6029257577780548,-0.19211741113011807,2.0,1,0,27.96,0,1,0,0,0,0,0,1,0
-0.6111593781370561,-0.49802930150310837,2.0,12,0,11.01,0,0,1,0,1,0,0,0,0
0.0022731115884736647,0.011823849118542127,1.0,0,0,28.32,1,0,0,0,1,0,0,0,0
0.10025191203074578,0.2213678912421654,1.0,18,0,35.55,1,0,0,0,0,0,0,1,0
-0.8987058576958983,-0.7322255838765698,4.0,10,1,15.27,0,0,0,1,0,0,0,1,0
1.2951672826419338,1.344165378984789,1.0,0,0,43.49,0,0,1,0,0,1,0,0,0
0.30472940860592235,0.15413450874260715,4.0,7,0,29.48,0,0,1,0,0,1,0,0,0
3.0971252212106775,1.9840030691055854,1.0,5,0,57.56,0,1,0,0,0,0,0,1,0
-1.0904035107351262,-1.171483682873684,6.0,16,1,5.47,0,1,0,0,1,0,0,0,0
-0.8752761445466593,-1.134505322498927,1.0,11,0,7.6,1,0,0,0,1,0,0,0,0
-1.1415228848789205,-1.171483682873684,2.0,0,1,9.25,1,0,0,0,0,0,0,1,0
-0.5770797953745267,-0.551816007502755,2.0,2,0,16.73,0,0,1,0,1,0,0,0,0
-0.40881185548453763,-0.31986083787927894,1.0,13,0,14.29,0,0,1,0,0,1,0,0,0
-0.7091381785793283,-0.9451312951251711,1.0,7,0,11.06,0,0,1,0,1,0,0,0,0
1.7595015977813973,0.8343122283631385,4.0,10,0,36.32,0,1,0,0,1,0,0,0,0
-0.4961407863135193,-0.20332297488004442,2.0,13,1,21.44,0,0,0,1,1,0,0,0,0
-0.6857084654300892,-0.5742271350026078,1.0,7,1,19.07,1,0,0,0,0,0,1,0,0
0.0853420945721391,-0.1719473963802506,1.0,2,0,19.58,0,1,0,0,0,0,1,0,0
-0.988164762447538,-1.171483682873684,1.0,6,0,6.76,0,1,0,0,1,0,0,0,0
1.5124246227530593,1.4024343104844061,1.0,18,0,45.64,0,0,1,0,1,0,0,0,0
-1.1159631978070232,-0.8285934321259367,5.0,3,1,8.49,0,1,0,0,1,0,0,0,0
1.273867543415353,1.7946290417318296,5.0,12,0,55.76,1,0,0,0,1,0,0,0,0
-0.8710161967013431,-0.799458966376128,1.0,19,0,10.6,0,0,1,0,1,0,0,0,0
-1.1415228848789205,-1.171483682873684,2.0,18,0,6.85,0,1,0,0,0,0,0,1,0
1.631703162421912,2.3761978003530086,1.0,4,0,70.54,1,0,0,0,0,0,0,1,0
0.843612811038419,0.4790958574904723,3.0,22,0,35.76,0,0,1,0,1,0,0,0,0
0.9778011681658785,1.0539412778616957,1.0,4,0,38.45,0,0,1,0,0,1,0,0,0
1.265347647724721,1.205216388485702,1.0,19,1,40.72,0,0,1,0,0,1,0,0,0
-1.1159631978070232,-1.171483682873684,2.0,23,0,5.01,0,1,0,0,1,0,0,0,0
-0.4918808384682032,-0.20444353125503703,1.0,3,0,25.98,1,0,0,0,0,0,0,1,0
-1.037154162668674,-1.171483682873684,2.0,1,1,6.75,0,0,1,0,1,0,0,0,0
2.1407669299371954,1.356491499109708,2.0,12,0,39.73,0,1,0,0,1,0,0,0,0
0.4154880525841429,0.17094285436749676,2.0,15,0,20.73,0,1,0,0,1,0,0,0,0
-0.5642999518385782,-0.8252317630009588,6.0,21,0,14.37,0,0,1,0,0,0,1,0,0
-1.1351329631109461,-1.171483682873684,1.0,1,0,10.04,1,0,0,0,0,1,0,0,0
-0.6132893520597142,-0.4050231223787194,1.0,18,0,16.07,0,0,1,0,1,0,0,0,0
-0.5770797953745267,-0.9272023931252888,3.0,16,0,18.57,1,0,0,0,0,0,0,1,0
0.9799311420885369,0.7928516424884111,2.0,4,1,30.49,0,1,0,0,1,0,0,0,0
0.4815172441865436,0.09474502086799738,1.0,17,0,31.78,0,0,1,0,0,0,1,0,0
-0.1596049065335411,-0.09799067563073648,1.0,20,0,29.22,1,0,0,0,0,1,0,0,0
-1.0307642409006998,-0.9339257313752446,1.0,17,1,8.92,0,0,1,0,0,0,0,1,0
0.8798223677236066,0.4622875118655827,1.0,7,0,27.5,0,1,0,0,0,1,0,0,0
1.1886685865090294,0.6494204264893533,1.0,14,0,32.37,0,1,0,0,0,0,1,0,0
0.15563123401985607,0.33566464149141445,1.0,12,0,34.82,1,0,0,0,0,0,0,1,0
